SampleIdx,F_990Hz,F_992Hz,F_994Hz,F_996Hz,F_998Hz,F_1000Hz,F_1002Hz,F_1004Hz,F_1006Hz,F_1008Hz,F_1010Hz
20560,8543.63,41034.65,25198.59,13360.98,27266.73,103669.72,14953.68,22858.42,28110.32,1150.36,26278.52
20576,8601.43,40958.42,24990.92,13438.92,26938.69,104002.86,15195.31,22584.40,28424.20,1206.28,26521.39
20592,8752.07,40954.34,24725.45,13611.93,26413.04,104611.44,15590.49,22158.05,28928.02,1300.72,26901.50
20608,9017.02,41202.85,24607.46,13908.95,25856.62,105500.00,16035.20,21757.32,29434.64,1397.64,27374.70
20624,9310.90,41532.58,24548.56,14229.32,25317.27,106405.23,16484.26,21355.05,29963.06,1507.11,27817.81
20640,9471.46,41800.14,24625.18,14418.87,25104.67,106920.09,16685.87,21214.65,30173.51,1551.84,28061.42
20656,9451.29,41793.00,24648.58,14405.20,25149.92,106891.23,16654.70,21257.08,30124.90,1540.82,28063.65
20672,9324.16,41520.61,24524.38,14237.21,25298.88,106438.27,16491.99,21366.43,29947.82,1501.23,27869.95
20688,9347.38,41268.86,24190.21,14135.49,25133.12,106044.31,16510.68,21186.21,30069.38,1528.48,27527.21
20704,9409.26,41230.05,24047.63,14135.77,24990.94,105960.33,16570.57,21051.76,30188.21,1555.15,27375.01
20720,9403.50,40893.91,23684.22,13959.25,24948.20,105325.82,16456.36,21033.75,30089.18,1530.77,26992.95
20736,9362.65,40554.90,23384.19,13769.94,25002.99,104710.36,16292.26,21119.16,29894.44,1485.70,26733.37
20752,9156.27,40071.98,23205.26,13488.63,25360.63,104076.05,15976.27,21474.44,29463.89,1391.38,26805.90
20768,8975.68,39480.11,22895.16,13146.85,25728.41,103225.59,15605.91,21874.44,28961.25,1283.87,26852.89
20784,8982.47,39111.28,22529.71,12917.29,25840.92,102438.72,15355.41,22094.94,28604.78,1205.61,26711.47
20800,9107.67,39230.10,22445.84,12966.06,25663.01,102340.66,15398.29,21992.60,28639.09,1207.81,26487.83
20816,9234.93,39558.29,22545.99,13142.63,25393.22,102617.08,15576.43,21753.99,28854.25,1247.58,26246.79
20832,9363.05,39743.26,22511.48,13219.82,25203.74,102561.50,15626.69,21657.88,28875.59,1246.24,26040.81
20848,9436.08,39844.16,22486.20,13257.83,25103.40,102503.35,15642.88,21620.08,28865.71,1240.80,25936.35
20864,9383.51,39721.82,22467.74,13201.45,25205.84,102489.83,15606.98,21674.38,28851.45,1241.69,26035.79
20880,9299.27,39423.81,22365.99,13048.17,25446.03,102355.62,15494.02,21829.80,28781.08,1237.57,26273.55
20896,9190.99,38933.84,22171.70,12790.68,25841.71,102122.39,15312.32,22079.29,28688.70,1239.62,26651.55
20912,9040.94,38507.19,22107.01,12612.26,26186.66,102220.81,15265.37,22170.50,28800.24,1284.54,26882.62
20928,8877.04,37989.43,22025.14,12401.95,26601.64,102394.59,15240.71,22240.12,28998.39,1354.88,27095.27
20944,8617.97,37372.05,22056.77,12221.70,27063.28,102974.58,15366.98,22138.40,29455.77,1481.85,27126.29
20960,8351.24,37011.46,22276.61,12224.64,27266.66,103815.20,15646.07,21835.75,29970.21,1595.84,26858.54
20976,8036.73,36760.83,22655.12,12355.13,27312.72,104923.62,16059.31,21368.31,30543.52,1701.16,26363.96
20992,7687.32,36488.88,23105.96,12534.22,27319.37,106207.55,16554.76,20813.04,31157.39,1804.79,25750.55
21008,7412.86,36018.62,23369.92,12572.37,27517.70,107327.44,16976.77,20356.67,31778.33,1927.43,25227.85
